Tipo;Designacion;d;bf;tf;hw;tw=r1;r2;bf/2tf;hw/tw;Ag;Peso;Ix;Sx;rx;Qx;Zx;Iy;Sy;ry;Qy;1.5Sy;Zy;w1;d1;w4;t1;w3;J;Cw;X1;X2
IPN;80;80;42;5.9;59.0;3.9;2.3;3.6;15.1;7.6;5.9;77.8;19.5;3.2;11.4;22.8;6.3;3.0;0.9;2.5;4.5;4.9;22.0;6.4;10.0;4.4;;0.7;87.5;32815.0;0.7
IPN;100;100;50;6.8;75.0;4.5;2.7;3.7;16.7;10.6;8.3;171.0;34.2;4.0;19.9;39.8;12.2;4.9;1.1;4.0;7.3;8.0;28.0;6.4;11.0;5.1;;1.3;268.0;30082.0;1.0
IPN;120;120;58;7.7;92.0;5.1;3.1;3.8;18.0;14.2;11.1;328.0;54.7;4.8;31.8;63.6;21.5;7.4;1.2;6.1;11.1;12.2;32.0;8.4;13.0;5.7;;2.2;685.0;28382.0;1.3
IPN;140;140;66;8.6;109.0;5.7;3.4;3.8;19.1;18.2;14.3;573.0;81.9;5.6;47.7;95.4;35.2;10.7;1.4;8.9;16.1;17.7;34.0;11.0;16.0;6.3;;3.6;1540.0;27117.0;1.6
IPN;160;160;74;9.5;125.0;6.3;3.8;3.9;19.8;22.8;17.9;935.0;117.0;6.4;68.0;136.0;54.7;14.8;1.6;12.3;22.2;24.6;40.0;11.0;17.0;6.9;;5.4;3138.0;26190.0;1.8
IPN;180;180;82;10.4;142.0;6.9;4.1;3.9;20.6;27.9;21.9;1450.0;161.0;7.2;93.4;187.0;81.3;19.8;1.7;16.5;29.7;33.0;44.0;13.0;19.0;7.5;;7.9;5924.0;25442.0;2.0
IPN;200;200;90;11.3;159.0;7.5;4.5;4.0;21.2;33.4;26.2;2140.0;214.0;8.0;125.0;250.0;117.0;26.0;1.9;21.6;39.0;43.2;48.0;13.0;21.0;8.2;;11.2;10520.0;24894.0;2.2
IPN;220;220;98;12.2;176.0;8.1;4.9;4.0;21.7;39.5;31.1;3060.0;278.0;8.8;162.0;324.0;162.0;33.1;2.0;27.6;49.7;55.2;52.0;13.0;23.0;8.8;;15.3;17760.0;24432.0;2.4
IPN;240;240;106;13.1;192.0;8.7;5.2;4.1;22.1;46.1;36.2;4250.0;354.0;9.6;206.0;412.0;221.0;41.7;2.2;34.7;62.6;69.4;56.0;17.0;25.0;9.4;;20.6;28730.0;24017.0;2.6
IPN;260;260;113;14.1;208.0;9.4;5.6;4.0;22.1;53.3;41.9;5740.0;442.0;10.4;257.0;514.0;288.0;51.0;2.3;42.6;76.5;85.1;60.0;17.0;26.5;10.2;;27.5;44070.0;23925.0;2.7
